ID,X,Y,A,B,theta,total_flux,mu_max,mu_median,mu_mean,R_fwhm,R_e,R10,R90,x_start,x_end,y_start,y_end,area,greylevel
671,812.291948579161,872.4451962110961,9.370481306601551,4.820487642535921,-0.11126715221692833,2956.0,12.0,5.0,5.423853211009174,8.500373177909337,7.356132180109627,2.876813695875796,11.589942707777277,789,831,863,883,545,7.423853211009174
672,135.5655737704918,867.0655737704918,2.2745459363192517,2.0531395296912374,0.2843353142373584,122.0,3.0,2.0,1.6944444444444444,3.5682482323055424,2.763953195770684,1.1283791670955126,4.259537945889915,131,140,864,871,72,5.694444444444445
673,507.63837638376384,863.509225092251,4.23357516694011,2.434463363850455,0.03768613122963386,542.0,6.0,3.0,3.132947976878613,5.4700209598571305,4.029119531035698,1.692568750643269,6.333012368467128,500,518,858,869,173,6.132947976878612
674,890.4734693877551,865.2857142857143,3.750132452875841,1.7974149970565356,-0.5205346718714638,245.0,6.0,2.0,2.378640776699029,3.523362819972964,3.0382538898732494,1.1283791670955126,4.886025119029199,885,899,860,871,103,10.37864077669903
675,1018.675615212528,862.2796420581656,8.320184092553548,2.8709089512495956,1.5335805855994618,447.0,7.0,1.0,1.5574912891986064,3.2897623212397704,3.949327084834294,1.381976597885342,6.817128675830715,1001,1023,845,879,287,5.557491289198606
676,397.26552053486154,881.3839541547278,6.8827399729610095,2.90854503641083,1.3669915573199931,1047.0,9.0,3.0,3.292452830188679,4.886025119029199,5.322553886092406,1.9544100476116797,8.593479713983122,391,405,864,897,318,7.2924528301886795
677,798.485549132948,876.5953757225434,2.2911018191906933,1.7416815473777578,-0.11317336691050185,173.0,5.0,2.5,2.621212121212121,3.2410224072142872,2.4592453796829674,0.9772050238058398,3.8678889139475245,794,803,872,879,66,11.621212121212121
678,912.1783104730163,888.4527624663505,25.0941061279062,13.320661570720409,0.7663866547859184,7801.0,10.0,3.0,3.054424432263117,12.914889870235298,14.777028859756632,5.382025607773058,24.436639426909572,865,958,806,932,2554,6.054424432263117
679,941.0725925925926,862.4962962962964,6.113363369569035,2.8724143449176918,-1.3942772415634619,675.0,6.0,2.0,2.6679841897233203,6.257165172872317,4.820437914901168,1.8712051592547776,7.653039857325812,933,948,848,873,253,6.66798418972332
680,8.44478527607362,867.5092024539878,3.7183113394007443,2.1711683991709387,0.5352226051173484,326.0,6.0,3.0,2.8596491228070176,4.3336224206596095,3.141274657157109,1.2615662610100802,5.014626706796775,0,14,862,874,114,8.859649122807017
